latitude,longitude,value
31.7656,-106.455,13.2
30.3542,-97.760002,9
42.887501,-73.249702,5.5
43.46611,-88.621109,9.3
34.3833,-118.5283,8.6
34.4044,-118.81,8
41.5144,-90.5172,11.3
30.0842,-84.1617,9.9
34.906082,-95.794128,15.9
41.8081,-71.415,3.3
36.106389,-115.253333,7.4
35.785665,-115.357087,4
40.515251,-74.806755,8.5
47.6011,-103.2642,6.4
39.12886,-84.50404,16.3
35.32,-97.4883,25.9
35.9525,-96.0033,20.5
40.747799,-80.316704,22
32.482081,-97.026922,23
31.768056,-106.501111,11.3
29.9011,-95.3261,NA
29.670025,-95.128508,14.5
29.863952,-94.3178,16.9
39.753889,-121.624444,3.6
40.85355,-73.9661,17.2
38.1935,-85.7121,16.8
37.06315,-122.083092,2.3
47.594395,-115.323746,8.7
20.869444,-156.492417,4.5
46.713694,-92.511722,10.2
38.894749,-76.953427,10.1
40.600556,-112.355,4.4
20.558153,-101.20485,17.2
41.842778,-111.85194,6.5
36.1857,-85.4921,8.3
47.8679,-104.676864,5.4
40.2464,-77.1867,19.8
38.7045,-90.1397,19.1
40.720989,-74.192894,7.9
32.0319,-96.3992,17.3
21.392834,-157.969131,3.2
49.14139,-123.10833,6.2
40.924606,-75.067825,3.8
53.973301,-128.650299,6.8
41.18222,-104.778336,4.8
43.746944,-101.941109,6.6
44.761398,-91.413002,10.3
47.213551,-123.100807,7.1
53.800117,-112.927795,8.5
43.381943,-124.263885,5.3
33.583099,-117.072197,6.3
49.317501,-117.661697,8.9
36.1767,-86.7386,6.9
32.0903,-81.1306,13.3
47.1303,-119.2726,4.9
36.5975,-118.04,5.3
43.0203,-88.215,NA
34.4278,-119.6903,13
46.5754,-119.0021,7.2
42.190296,-121.731369,7
44.063916,-121.312554,15.8
44.5884,-123.2673,5.1
49.7164,-112.8006,6.3
45.5639,-88.81,10.2
44.7197,-63.4819,5.5
40.693298,-92.006104,10.3
43.629605,-72.309499,4.2
38.088902,-88.625,14.4
44.4572,-95.835,NA
42.4033,-82.2086,8.1
36.0528,-89.3819,5.3
42.623225,-122.810158,4.2
37.6825,-121.4406,10.6
53.201694,-105.75203,9.6
46.8253,-100.7681,NA
40.725452,-74.052292,11.5
39.282799,-78.081398,6.5
41.4942,-71.4219,2.2
33.5453,-86.5492,8.3
39.54092,-119.746764,9.8
36.489399,-118.826897,3.6
49.2794,-122.9711,4
35.750599,-94.669701,6.5
48.055,-122.175797,5.3
42.86183,-71.878626,3.3
41.492191,-81.678552,19.4
34.9481,-120.4344,6.4
41.095938,-80.658467,9.5
47.140499,-122.299202,5.7
39.8108,-86.1147,22.3
46.35,-72.4333,NA
44.7383,-93.2372,2.3
43.9947,-92.449700000000007,8
48.4292,-123.3583,9
20.914813,-100.743844,7.7
44.817398,-68.772762,2.8
39.988842,-75.207205,8.7
40.598056,-111.894167,7.1
42.267002,-89.08917,12.9
42.295824,-83.129431,NA
35.116866,-87.419726,3.1
42.589833,-112.458889,3.2
46.682299,-68.016195,4.6
47.592675,-122.627397,3.6
37.125861,-122.122127,9.3
39.7794,-105.00523,9.2
54.0403,-128.3825,6.4
34.8416,-118.8647,2.9
36.4878,-117.871,4.9
47.83861,-120.02306,5.6
41.864329,-87.748826,13.8
35.2632,-79.8635,8.7
61.3267,-149.569707,4.6
39.960884,-85.939546000000007,12.5
29.5294,-98.39139,6.9
30.35386,-97.69166,12.9
45.39916,-122.7455,4.2
39.237457,-85.891332,NA
40.4316,-86.8525,10.3
41.6967,-86.2147,NA
36.1797,-94.1167,13.2
47.885201,-117.988602,6.5
48.4772,-120.1906,13.1
35.9919,-78.8964,12.9
29.9431,-89.9761,11.7
35.6198,-106.0797,3.1
54.4138,-110.2331,5.7
41.658195,-91.503471,13.5
32.6056,-83.5979,6.3
43.7781,-91.225,8.7
51.95,-114.7,2.6
26.0732,-80.3386,0.5
46.1425,-60.1728,4.4
26.724167,-80.663055,5.9
33.503601,-112.095001,12.2
39.10465,-94.57055,8.4
39.42689,-84.20077,9.3
43.075371,-70.748017,5.6
42.434149,-123.348466,13.3
34.669589,-118.130689,8.7
43.823017,-115.838557,6.1
39.705799,-79.011902,9.2
35.0508,-85.2931,6.6
30.3942,-87.0081,8.2
39.055302,-76.878304,5.8
48.3841,-115.548,25.9
32.6336,-115.5042,54.3
42.3144,-83.0433,16.6
45.0294,-74.7394,6
43.1583,-79.235,14.4
46.3175,-79.4453,NA
33.4105,-111.8651,3.8
32.2953,-110.9822,3
33.920758,-116.858419,7.5
33.217026,-117.396156,11.3
36.999571,-121.574684,7.6
41.72679,-122.63359,9.8
38.102507,-122.237976,NA
40.0128,-105.2667,16.6
38.6444,-75.6131,8.6
33.4333,-82.0219,8.2
41.2222,-88.1906,12.9
41.6067,-87.3047,10.7
45.006100000000004,-65,5.3
46.11,-64.79,2.5
44.3,-78.35,3.8
45.2211,-78.9314,1.2
32.4069,-86.2564,12.9
35.0506,-118.1464,11
34.1992,-118.5331,21.3
37.2817,-120.433601,10.6
36.48187,-121.73333,4
34.243132,-117.272275,9.9
37.6583,-120.9936,15.8
34.4483,-119.2303,4.8
39.751099,-104.987198,13.2
37.338202,-121.849892,13.5
47.878159,-95.029172,11.9
45.683765,-111.056282,7.1
30.262808,-81.606834,13
46.32033,-119.9981,13.5
20.657939,-101.34915,17.6
40.437431,-79.863572,19.4
45.651722,-73.573896,3.6
45.641026,-73.499682,9.8
21.298874,-100.51557,6
39.101439,-90.344494,6
32.322573,-111.037709,4
41.526885,-88.116474,12.7
48.760036,-122.456463,5.7
40.054171,-74.985166,8.9
42.453035,-73.238776,7.6
37.103683,-76.386948,11.8
19.117561,-155.778137,5.8
49.13278,-122.69417,4.8
49.323891,-123.083611,7.9
46.77417,-71.36972,4.7
40.33733,-76.383446,5.6
49.009869,-123.082017,7.7
